#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ITK	CD86	4448039	4440320	9606.ENSP00000398655	9606.ENSP00000332049	0	0	0	0	0.127	0	0.900	0.291	0.932
CYP2B6	ALDH1A2	4439703	4434106	9606.ENSP00000324648	9606.ENSP00000249750	0	0	0	0	0.061	0.085	0.900	0.303	0.932
TNFRSF1B	CD53	4444700	4435973	9606.ENSP00000365435	9606.ENSP00000271324	0	0	0	0	0.280	0	0.900	0.133	0.932
COL14A1	COL6A3	4437442	4437161	9606.ENSP00000297848	9606.ENSP00000295550	0	0	0	0.577	0.157	0	0.900	0.569	0.932
CD34	THY1	4438554	4436571	9606.ENSP00000310036	9606.ENSP00000284240	0	0	0	0	0.062	0	0	0.929	0.931
RUNX3	ITGAL	4446960	4441903	9606.ENSP00000382800	9606.ENSP00000349252	0	0	0	0	0.163	0	0.900	0.244	0.931
IL2RA	SOCS3	4445295	4440175	9606.ENSP00000369293	9606.ENSP00000330341	0	0	0	0	0.061	0	0.900	0.327	0.931
CLU	SPARC	4438974	4433520	9606.ENSP00000315130	9606.ENSP00000231061	0	0	0	0	0.093	0	0.900	0.300	0.931
BTK	ITK	4451790	4448039	9606.ENSP00000483570	9606.ENSP00000398655	0	0	0	0.947	0.062	0.305	0.900	0.758	0.931
CXCL10	C3	4438146	4433951	9606.ENSP00000305651	9606.ENSP00000245907	0	0	0	0	0.088	0	0.900	0.312	0.931
RHOU	ARHGEF37	4442726	4439981	9606.ENSP00000355652	9606.ENSP00000328083	0	0	0	0	0.072	0.285	0.900	0.095	0.931
VAV1	KDR	4451047	4435337	9606.ENSP00000472929	9606.ENSP00000263923	0	0	0	0	0.061	0.183	0.900	0.208	0.931
CXCL1	C3	4446449	4433951	9606.ENSP00000379110	9606.ENSP00000245907	0	0	0	0	0.105	0	0.900	0.297	0.931
ARHGAP23	RHOU	4451620	4442726	9606.ENSP00000481862	9606.ENSP00000355652	0	0	0	0	0.061	0.159	0.900	0.231	0.931
PAK3	MYH10	4442408	4442375	9606.ENSP00000353864	9606.ENSP00000353590	0	0	0	0	0.237	0.132	0.900	0.087	0.931
RAMP2	RAMP3	4434325	4433813	9606.ENSP00000253796	9606.ENSP00000242249	0	0	0	0.780	0.175	0	0.900	0.926	0.931
NOS2	OTC	4439909	4432619	9606.ENSP00000327251	9606.ENSP00000039007	0	0	0	0	0.091	0	0.900	0.304	0.931
FPR1	CXCL2	4450996	4449392	9606.ENSP00000471493	9606.ENSP00000427279	0	0	0	0	0.082	0	0.900	0.311	0.931
JAK3	CSF2RB	4447709	4447068	9606.ENSP00000391676	9606.ENSP00000384053	0	0	0	0	0.155	0.128	0.900	0.165	0.930
ARHGEF37	RHOQ	4439981	4433719	9606.ENSP00000328083	9606.ENSP00000238738	0	0	0	0	0.059	0.285	0.900	0.095	0.930
TDO2	DDC	4450131	4448281	9606.ENSP00000444788	9606.ENSP00000403644	0	0	0	0	0.063	0	0.900	0.316	0.930
SELP	VWF	4435297	4434871	9606.ENSP00000263686	9606.ENSP00000261405	0	0	0	0	0.191	0	0	0.916	0.930
FPR1	P2RY13	4450996	4439360	9606.ENSP00000471493	9606.ENSP00000320376	0	0	0	0.619	0.326	0	0.900	0.081	0.930
SRD5A3	HSD17B2	4435397	4432776	9606.ENSP00000264228	9606.ENSP00000199936	0	0	0	0	0	0	0.900	0.334	0.930
SCN9A	ANK3	4447360	4436396	9606.ENSP00000386306	9606.ENSP00000280772	0	0	0	0	0.062	0.085	0.900	0.283	0.930
IGLL5	FYN	4449581	4441647	9606.ENSP00000431254	9606.ENSP00000346671	0	0	0	0	0	0.169	0.900	0.231	0.930
FPR1	GNA15	4450996	4435170	9606.ENSP00000471493	9606.ENSP00000262958	0	0	0	0	0.076	0.177	0.900	0.197	0.930
CXCL2	CXCL9	4449392	4442567	9606.ENSP00000427279	9606.ENSP00000354901	0	0	0	0.865	0.080	0.226	0.900	0.727	0.930
GPR65	GNA15	4435771	4435170	9606.ENSP00000267549	9606.ENSP00000262958	0	0	0	0	0.078	0.177	0.900	0.195	0.930
PAK3	FYN	4442408	4441647	9606.ENSP00000353864	9606.ENSP00000346671	0	0	0.298	0.562	0.062	0.157	0.900	0.234	0.930
IGFBP5	TIMP1	4433604	4433052	9606.ENSP00000233813	9606.ENSP00000218388	0	0	0	0	0	0	0.900	0.335	0.930
VAV1	ITGB2	4451047	4446737	9606.ENSP00000472929	9606.ENSP00000380948	0	0	0	0	0.309	0.305	0.800	0.360	0.930
CSF2RB	IL2RA	4447068	4445295	9606.ENSP00000384053	9606.ENSP00000369293	0	0	0	0	0.098	0	0.900	0.293	0.930
GBP1	ICAM1	4443543	4435501	9606.ENSP00000359504	9606.ENSP00000264832	0	0	0	0	0.146	0	0.900	0.246	0.930
SOCS3	SOCS1	4440175	4440100	9606.ENSP00000330341	9606.ENSP00000329418	0	0	0	0.739	0.129	0	0.900	0.889	0.930
COL4A1	COL14A1	4444632	4437442	9606.ENSP00000364979	9606.ENSP00000297848	0	0	0	0.546	0.161	0	0.900	0.480	0.930
ARHGEF37	RHOJ	4439981	4439077	9606.ENSP00000328083	9606.ENSP00000316729	0	0	0	0	0	0.285	0.900	0.095	0.929
ICAM1	CCL2	4435501	4433339	9606.ENSP00000264832	9606.ENSP00000225831	0	0	0	0	0.149	0	0	0.919	0.929
VAV1	CDH5	4451047	4441389	9606.ENSP00000472929	9606.ENSP00000344115	0	0	0	0	0	0.080	0.900	0.299	0.929
ANPEP	NAT8	4437626	4436027	9606.ENSP00000300060	9606.ENSP00000272425	0	0	0	0	0.061	0	0.900	0.309	0.929
RHOH	ARHGEF37	4445600	4439981	9606.ENSP00000371219	9606.ENSP00000328083	0	0	0	0	0	0.285	0.900	0.095	0.929
ARHGEF37	RAC2	4439981	4434085	9606.ENSP00000328083	9606.ENSP00000249071	0	0	0	0	0	0.285	0.900	0.095	0.929
PLAU	ITGA5	4444017	4437011	9606.ENSP00000361850	9606.ENSP00000293379	0	0	0	0	0.180	0	0.900	0.212	0.929
PPARGC1B	PPARGC1A	4438804	4435507	9606.ENSP00000312649	9606.ENSP00000264867	0	0	0	0.636	0.062	0	0.900	0.775	0.929
ARHGAP44	RHOQ	4445257	4433719	9606.ENSP00000368994	9606.ENSP00000238738	0	0	0	0	0	0.177	0.900	0.217	0.929
IL12RB1	SOCS1	4450970	4440100	9606.ENSP00000470788	9606.ENSP00000329418	0	0	0	0	0.061	0	0.900	0.311	0.929
FYN	AKT3	4441647	4435323	9606.ENSP00000346671	9606.ENSP00000263826	0	0	0.376	0.566	0.091	0.071	0.900	0.248	0.929
ITK	CD80	4448039	4435403	9606.ENSP00000398655	9606.ENSP00000264246	0	0	0	0	0.078	0	0.900	0.297	0.929
HLA-DRA	CD274	4446403	4445568	9606.ENSP00000378786	9606.ENSP00000370989	0	0	0	0	0.090	0	0.900	0.285	0.929
PF4	HGF	4437224	4433227	9606.ENSP00000296029	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.322	0.929
SDR16C5	ALDH1A2	4438338	4434106	9606.ENSP00000307607	9606.ENSP00000249750	0	0	0	0	0.064	0.167	0.900	0.201	0.929
SOD2	ACSS2	4450194	4434303	9606.ENSP00000446252	9606.ENSP00000253382	0	0	0	0	0.062	0	0.900	0.304	0.929
NPY1R	PNOC	4442512	4437808	9606.ENSP00000354652	9606.ENSP00000301908	0	0	0	0	0	0	0.900	0.320	0.929
ITGAX	PTPRC	4450468	4448605	9606.ENSP00000454623	9606.ENSP00000411355	0	0	0	0	0.292	0.081	0	0.899	0.929
CSGALNACT2	BGN	4444396	4439914	9606.ENSP00000363590	9606.ENSP00000327336	0	0	0	0	0.057	0	0.900	0.316	0.929
IGLL5	FGR	4449581	4444303	9606.ENSP00000431254	9606.ENSP00000363117	0	0	0	0	0.213	0.169	0.900	0.047	0.929
MMP12	NID1	4450601	4435391	9606.ENSP00000458585	9606.ENSP00000264187	0	0	0	0	0	0	0.900	0.310	0.928
CXCL8	ICAM1	4438229	4435501	9606.ENSP00000306512	9606.ENSP00000264832	0	0	0	0	0.214	0	0	0.912	0.928
TNFRSF1B	PSMB9	4444700	4444464	9606.ENSP00000365435	9606.ENSP00000363993	0	0	0	0	0.121	0	0.900	0.252	0.928
IL1RN	IRAK2	4434682	4434487	9606.ENSP00000259206	9606.ENSP00000256458	0	0	0	0	0.076	0.059	0.900	0.272	0.928
GPR183	CXCL10	4444726	4438146	9606.ENSP00000365596	9606.ENSP00000305651	0	0	0	0	0.109	0	0.900	0.258	0.928
ARHGAP44	RAC2	4445257	4434085	9606.ENSP00000368994	9606.ENSP00000249071	0	0	0	0	0	0.177	0.900	0.203	0.928
IL12RB1	NOS2	4450970	4439909	9606.ENSP00000470788	9606.ENSP00000327251	0	0	0	0	0	0	0.900	0.310	0.928
IL12RB1	SOCS3	4450970	4440175	9606.ENSP00000470788	9606.ENSP00000330341	0	0	0	0	0	0	0.900	0.312	0.928
GBP1	STAT1	4443543	4442456	9606.ENSP00000359504	9606.ENSP00000354394	0	0	0	0	0.812	0	0	0.637	0.928
RAMP3	SCTR	4433813	4432602	9606.ENSP00000242249	9606.ENSP00000019103	0	0	0	0	0	0	0.900	0.319	0.928
GPR65	P2RY10	4435771	4432713	9606.ENSP00000267549	9606.ENSP00000171757	0	0	0	0.642	0.278	0	0.900	0.189	0.928
ITGAL	CD93	4441903	4433960	9606.ENSP00000349252	9606.ENSP00000246006	0	0	0	0	0.123	0	0.900	0.253	0.928
PLAU	PDGFRB	4444017	4434952	9606.ENSP00000361850	9606.ENSP00000261799	0	0	0	0	0.069	0	0.900	0.291	0.928
ANGPT2	KDR	4438957	4435337	9606.ENSP00000314897	9606.ENSP00000263923	0	0	0	0	0.061	0.051	0.600	0.821	0.928
COL15A1	MMP3	4444486	4437610	9606.ENSP00000364140	9606.ENSP00000299855	0	0	0	0	0.116	0	0.900	0.253	0.928
PTAFR	STAT3	4444275	4435468	9606.ENSP00000362965	9606.ENSP00000264657	0	0	0	0	0	0	0.900	0.311	0.928
LILRB2	PTAFR	4445945	4444275	9606.ENSP00000375629	9606.ENSP00000362965	0	0	0	0	0.308	0	0.900	0.046	0.928
ITGAX	PTAFR	4450468	4444275	9606.ENSP00000454623	9606.ENSP00000362965	0	0	0	0	0.293	0	0.900	0.064	0.928
MMP9	COL14A1	4443919	4437442	9606.ENSP00000361405	9606.ENSP00000297848	0	0	0	0	0.061	0.141	0.900	0.219	0.928
PTGS2	CYP4F2	4442894	4433177	9606.ENSP00000356438	9606.ENSP00000221700	0	0	0	0	0.050	0	0.900	0.305	0.928
SERPING1	TIMP1	4436285	4433052	9606.ENSP00000278407	9606.ENSP00000218388	0	0	0	0	0.087	0	0.900	0.277	0.928
THBS2	ADAMTS1	4442741	4436609	9606.ENSP00000355751	9606.ENSP00000284984	0	0	0	0.542	0.145	0	0.900	0.456	0.928
PF4	CXCL6	4437224	4433365	9606.ENSP00000296029	9606.ENSP00000226317	0	0	0	0.869	0.055	0.221	0.900	0.805	0.928
IFIT3	STAT1	4443820	4442456	9606.ENSP00000360883	9606.ENSP00000354394	0	0	0	0	0.801	0	0	0.647	0.927
BTK	VAV3	4451790	4443450	9606.ENSP00000483570	9606.ENSP00000359073	0	0	0	0.544	0.090	0.177	0.900	0.261	0.927
ITGB2	ITGA5	4446737	4437011	9606.ENSP00000380948	9606.ENSP00000293379	0	0	0	0	0.062	0.382	0.720	0.607	0.927
ARHGAP25	RHOJ	4447445	4439077	9606.ENSP00000386911	9606.ENSP00000316729	0	0	0	0	0	0.177	0.900	0.187	0.927
CD300A	CD93	4442338	4433960	9606.ENSP00000353259	9606.ENSP00000246006	0	0	0	0	0.213	0	0.900	0.149	0.927
VAV3	EFNA1	4443450	4443096	9606.ENSP00000359073	9606.ENSP00000357392	0	0	0	0	0	0	0.900	0.303	0.927
BTK	PIK3R3	4451790	4435132	9606.ENSP00000483570	9606.ENSP00000262741	0	0	0	0.563	0	0.221	0.900	0.288	0.927
CD53	CD93	4435973	4433960	9606.ENSP00000271324	9606.ENSP00000246006	0	0	0	0	0.213	0	0.900	0.153	0.927
CXCL2	PF4	4449392	4437224	9606.ENSP00000427279	9606.ENSP00000296029	0	0	0	0.867	0.064	0.213	0.900	0.719	0.927
APOL1	C3	4439145	4433951	9606.ENSP00000317674	9606.ENSP00000245907	0	0	0	0	0.088	0	0.900	0.270	0.927
IFI44	OAS2	4443609	4441243	9606.ENSP00000359783	9606.ENSP00000342278	0	0	0	0	0.784	0	0	0.676	0.927
IL18R1	STAT3	4447483	4435468	9606.ENSP00000387211	9606.ENSP00000264657	0	0	0	0	0	0.054	0.900	0.297	0.927
IGFBP7	VCAN	4437173	4435552	9606.ENSP00000295666	9606.ENSP00000265077	0	0	0	0	0.078	0.191	0.900	0.145	0.927
CCL4	HCAR3	4451651	4449793	9606.ENSP00000482259	9606.ENSP00000436714	0	0	0	0	0.243	0.124	0.900	0	0.927
C1S	C2	4447198	4437564	9606.ENSP00000385035	9606.ENSP00000299367	0	0	0	0.555	0.113	0	0.900	0.506	0.927
CYBB	PTAFR	4445083	4444275	9606.ENSP00000367851	9606.ENSP00000362965	0	0	0	0	0.207	0	0.900	0.154	0.927
ANXA1	C3	4444796	4433951	9606.ENSP00000366109	9606.ENSP00000245907	0	0	0	0	0.062	0	0.900	0.287	0.927
ARHGAP9	RHOU	4446186	4442726	9606.ENSP00000377380	9606.ENSP00000355652	0	0	0	0	0	0.085	0.900	0.275	0.927
CIITA	ICAM1	4451905	4435501	9606.ENSP00000485010	9606.ENSP00000264832	0	0	0	0	0.062	0	0.900	0.287	0.927
TCN1	OLFM4	4434538	4433058	9606.ENSP00000257264	9606.ENSP00000219022	0	0	0	0	0.104	0	0.900	0.259	0.927
VEGFC	PF4	4451445	4437224	9606.ENSP00000480043	9606.ENSP00000296029	0	0	0	0	0	0	0.900	0.305	0.927
CLU	VWF	4438974	4434871	9606.ENSP00000315130	9606.ENSP00000261405	0	0	0	0	0.083	0	0.900	0.266	0.926
VAV3	FYN	4443450	4441647	9606.ENSP00000359073	9606.ENSP00000346671	0	0	0	0.560	0	0.177	0.900	0.350	0.926
THBS1	ADAMTS2	4434771	4434181	9606.ENSP00000260356	9606.ENSP00000251582	0	0	0	0.542	0.086	0	0.900	0.527	0.926
C3	CX3CL1	4433951	4432567	9606.ENSP00000245907	9606.ENSP00000006053	0	0	0	0	0.087	0	0.900	0.257	0.926
TSC22D3	SGK2	4443926	4441062	9606.ENSP00000361458	9606.ENSP00000340608	0	0	0	0	0	0.173	0.900	0.184	0.926
LOXL2	PCOLCE	4445831	4433264	9606.ENSP00000373783	9606.ENSP00000223061	0	0	0	0	0.170	0	0.900	0.186	0.926
A1CF	APOBEC3B	4446414	4439923	9606.ENSP00000378868	9606.ENSP00000327459	0	0	0	0	0	0.081	0.900	0.268	0.926
PTPRF	IRS1	4442313	4438085	9606.ENSP00000353030	9606.ENSP00000304895	0	0	0	0	0.077	0.525	0.800	0.255	0.926
FPR1	C3	4450996	4433951	9606.ENSP00000471493	9606.ENSP00000245907	0	0	0	0	0.063	0	0.900	0.282	0.926
ICAM1	IL1B	4435501	4435241	9606.ENSP00000264832	9606.ENSP00000263341	0	0	0	0	0.154	0	0	0.916	0.926
PTPRC	THY1	4448605	4436571	9606.ENSP00000411355	9606.ENSP00000284240	0	0	0	0	0	0	0	0.926	0.926
VLDLR	PLAU	4445647	4444017	9606.ENSP00000371532	9606.ENSP00000361850	0	0	0	0	0	0	0.900	0.292	0.926
CD83	CD80	4445165	4435403	9606.ENSP00000368450	9606.ENSP00000264246	0	0	0	0	0.098	0	0	0.922	0.926
IDO1	DDC	4449569	4448281	9606.ENSP00000430950	9606.ENSP00000403644	0	0	0	0	0	0	0.900	0.283	0.925
FSTL1	IGFBP5	4437169	4433604	9606.ENSP00000295633	9606.ENSP00000233813	0	0	0	0	0.223	0	0.900	0.122	0.925
LYN	CD80	4449476	4435403	9606.ENSP00000428924	9606.ENSP00000264246	0	0	0	0	0.088	0	0.900	0.250	0.925
HLA-DRA	ICAM1	4446403	4435501	9606.ENSP00000378786	9606.ENSP00000264832	0	0	0	0	0.076	0	0.900	0.254	0.925
PF4	C3	4437224	4433951	9606.ENSP00000296029	9606.ENSP00000245907	0	0	0	0	0.062	0	0.900	0.265	0.925
MUC20	HGF	4448730	4433227	9606.ENSP00000414350	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.282	0.925
CFB	CD55	4448835	4442798	9606.ENSP00000416561	9606.ENSP00000356030	0	0	0	0.562	0.060	0	0.900	0.560	0.925
VAV3	ELMO1	4443450	4438759	9606.ENSP00000359073	9606.ENSP00000312185	0	0	0	0	0	0	0.900	0.281	0.925
MMP12	COL12A1	4450601	4439744	9606.ENSP00000458585	9606.ENSP00000325146	0	0	0	0	0.065	0	0.900	0.266	0.925
FCN1	C2	4443817	4437564	9606.ENSP00000360871	9606.ENSP00000299367	0	0	0	0	0.086	0.157	0.900	0.144	0.925
RHOH	ARHGAP44	4445600	4445257	9606.ENSP00000371219	9606.ENSP00000368994	0	0	0	0	0	0.177	0.900	0.162	0.925
CIITA	GBP5	4451905	4443538	9606.ENSP00000485010	9606.ENSP00000359488	0	0	0	0	0.188	0	0.900	0.155	0.925
CXCL1	CHI3L1	4446449	4434432	9606.ENSP00000379110	9606.ENSP00000255409	0	0	0	0	0.065	0	0.900	0.265	0.925
PTPRC	CD34	4448605	4438554	9606.ENSP00000411355	9606.ENSP00000310036	0	0	0	0	0	0	0	0.925	0.925
GBP1	VCAM1	4443543	4437090	9606.ENSP00000359504	9606.ENSP00000294728	0	0	0	0	0.167	0	0.900	0.164	0.924
ARHGAP9	RHOH	4446186	4445600	9606.ENSP00000377380	9606.ENSP00000371219	0	0	0	0	0.107	0.085	0.900	0.189	0.924
CXCL1	ANXA1	4446449	4444796	9606.ENSP00000379110	9606.ENSP00000366109	0	0	0	0	0.117	0	0.900	0.212	0.924
SIRPA	CD93	4446972	4433960	9606.ENSP00000382941	9606.ENSP00000246006	0	0	0	0	0.104	0	0.900	0.223	0.924
ITGB2	STAT1	4446737	4442456	9606.ENSP00000380948	9606.ENSP00000354394	0	0	0	0	0.082	0	0.900	0.243	0.924
ITK	VAV3	4448039	4443450	9606.ENSP00000398655	9606.ENSP00000359073	0	0	0	0	0.045	0.187	0.900	0.143	0.924
HLA-DRA	GBP1	4446403	4443543	9606.ENSP00000378786	9606.ENSP00000359504	0	0	0	0	0.137	0	0.900	0.193	0.924
CHST2	CHST11	4438370	4438158	9606.ENSP00000307911	9606.ENSP00000305725	0	0	0	0	0.070	0	0.900	0.251	0.924
ST3GAL1	MUC20	4449454	4448730	9606.ENSP00000428540	9606.ENSP00000414350	0	0	0	0	0	0	0.900	0.280	0.924
ANXA1	S100A11	4444796	4435987	9606.ENSP00000366109	9606.ENSP00000271638	0	0	0	0	0.424	0.391	0	0.802	0.924
NPY	AGT	4447109	4442719	9606.ENSP00000384364	9606.ENSP00000355627	0	0	0	0	0.076	0	0.900	0.249	0.924
ITGB2	PTAFR	4446737	4444275	9606.ENSP00000380948	9606.ENSP00000362965	0	0	0	0	0.225	0	0.900	0.108	0.924
QKI	RBPMS	4442608	4441020	9606.ENSP00000355094	9606.ENSP00000340176	0	0	0	0	0	0.406	0	0.877	0.924
ITGAX	CTLA4	4450468	4438004	9606.ENSP00000454623	9606.ENSP00000303939	0	0	0	0	0.077	0	0.720	0.731	0.924
GUCY1B3	PRKG2	4435431	4435428	9606.ENSP00000264424	9606.ENSP00000264399	0.046	0	0	0	0.145	0.158	0.800	0.529	0.923
ARHGAP44	RHOJ	4445257	4439077	9606.ENSP00000368994	9606.ENSP00000316729	0	0	0	0	0	0.177	0.900	0.146	0.923
LYN	PIK3R5	4449476	4447768	9606.ENSP00000428924	9606.ENSP00000392812	0	0	0	0	0.105	0	0.900	0.210	0.923
RHOU	CHN2	4442726	4433253	9606.ENSP00000355652	9606.ENSP00000222792	0	0	0	0	0.069	0.096	0.900	0.194	0.923
CIITA	GBP1	4451905	4443543	9606.ENSP00000485010	9606.ENSP00000359504	0	0	0	0	0.083	0	0.900	0.237	0.923
HLA-DRA	CTSH	4446403	4433111	9606.ENSP00000378786	9606.ENSP00000220166	0	0	0	0	0.159	0	0.900	0.165	0.923
FYN	CD80	4441647	4435403	9606.ENSP00000346671	9606.ENSP00000264246	0	0	0	0	0	0	0.900	0.268	0.923
TNFRSF1B	CD93	4444700	4433960	9606.ENSP00000365435	9606.ENSP00000246006	0	0	0	0	0.188	0	0.900	0.133	0.923
LYN	EFNA1	4449476	4443096	9606.ENSP00000428924	9606.ENSP00000357392	0	0	0	0	0.061	0.186	0.900	0.117	0.923
IGFBP7	FSTL1	4437173	4437169	9606.ENSP00000295666	9606.ENSP00000295633	0	0	0	0	0.169	0	0.900	0.152	0.923
CXCL8	GNA15	4438229	4435170	9606.ENSP00000306512	9606.ENSP00000262958	0	0	0	0	0.171	0	0.900	0.155	0.923
NNMT	CD38	4449990	4433362	9606.ENSP00000441434	9606.ENSP00000226279	0	0	0	0	0	0	0.900	0.263	0.923
FGR	CXCL8	4444303	4438229	9606.ENSP00000363117	9606.ENSP00000306512	0	0	0	0	0.076	0	0.900	0.243	0.923
SPARCL1	C3	4448749	4433951	9606.ENSP00000414856	9606.ENSP00000245907	0	0	0	0	0.104	0	0.900	0.216	0.923
CXCL2	C3	4449392	4433951	9606.ENSP00000427279	9606.ENSP00000245907	0	0	0	0	0.094	0	0.900	0.222	0.923
PTAFR	VCAM1	4444275	4437090	9606.ENSP00000362965	9606.ENSP00000294728	0	0	0	0	0.153	0	0.900	0.164	0.923
CYR61	FBN1	4448043	4439770	9606.ENSP00000398736	9606.ENSP00000325527	0	0	0	0	0.154	0	0.900	0.164	0.923
FYN	CD86	4441647	4440320	9606.ENSP00000346671	9606.ENSP00000332049	0	0	0	0	0	0	0.900	0.270	0.923
NCF2	VCAM1	4442905	4437090	9606.ENSP00000356505	9606.ENSP00000294728	0	0	0	0	0.063	0	0.900	0.249	0.923
PAK3	RAC2	4442408	4434085	9606.ENSP00000353864	9606.ENSP00000249071	0	0	0	0	0.064	0.734	0.600	0.323	0.923
PTPRC	ITGAL	4448605	4441903	9606.ENSP00000411355	9606.ENSP00000349252	0	0	0	0	0.638	0.404	0	0.670	0.922
RUNX3	PSMB9	4446960	4444464	9606.ENSP00000382800	9606.ENSP00000363993	0	0	0	0	0.095	0	0.900	0.210	0.922
CCL4	NPY1R	4451651	4442512	9606.ENSP00000482259	9606.ENSP00000354652	0	0	0	0	0	0.124	0.900	0.189	0.922
CYBB	PLAUR	4445083	4440945	9606.ENSP00000367851	9606.ENSP00000339328	0	0	0	0	0.061	0	0.900	0.239	0.922
CXCL9	C3	4442567	4433951	9606.ENSP00000354901	9606.ENSP00000245907	0	0	0	0	0.090	0	0.900	0.213	0.922
CCL4	C3	4451651	4433951	9606.ENSP00000482259	9606.ENSP00000245907	0	0	0	0	0.061	0	0.900	0.243	0.922
FGFR2	STAT1	4448546	4442456	9606.ENSP00000410294	9606.ENSP00000354394	0	0	0	0	0	0.096	0.900	0.212	0.922
NPY	CXCL8	4447109	4438229	9606.ENSP00000384364	9606.ENSP00000306512	0	0	0	0	0	0	0.900	0.256	0.922
AGT	ANPEP	4442719	4437626	9606.ENSP00000355627	9606.ENSP00000300060	0	0	0	0	0.064	0	0.900	0.238	0.922
TAGAP	RAC2	4442799	4434085	9606.ENSP00000356033	9606.ENSP00000249071	0	0	0	0	0.245	0	0.900	0.050	0.922
DAO	ACOT8	4433414	4433024	9606.ENSP00000228476	9606.ENSP00000217455	0	0	0	0	0	0	0.900	0.258	0.922
GJA1	LEF1	4436500	4435569	9606.ENSP00000282561	9606.ENSP00000265165	0	0	0	0	0	0	0.900	0.257	0.922
CYR61	TNC	4448043	4435562	9606.ENSP00000398736	9606.ENSP00000265131	0	0	0	0	0.166	0	0.900	0.141	0.922
RAMP2	SCTR	4434325	4432602	9606.ENSP00000253796	9606.ENSP00000019103	0	0	0	0	0	0	0.900	0.260	0.922
IL15RA	STAT3	4446659	4435468	9606.ENSP00000380421	9606.ENSP00000264657	0	0	0	0	0.061	0	0.900	0.243	0.922
LYN	PIK3R3	4449476	4435132	9606.ENSP00000428924	9606.ENSP00000262741	0	0	0	0	0	0.210	0.900	0.091	0.922
PAPLN	SPARC	4441517	4433520	9606.ENSP00000345395	9606.ENSP00000231061	0	0	0	0	0.904	0	0	0.224	0.922
PIK3R3	PDGFRB	4435132	4434952	9606.ENSP00000262741	9606.ENSP00000261799	0	0	0	0	0	0.549	0.800	0.210	0.922
CD274	HLA-DQB1	4445568	4444478	9606.ENSP00000370989	9606.ENSP00000364080	0	0	0	0	0.063	0	0.900	0.242	0.922
HLA-DQB1	ICAM1	4444478	4435501	9606.ENSP00000364080	9606.ENSP00000264832	0	0	0	0	0	0	0.900	0.257	0.922
KRT6B	KRT12	4434219	4434187	9606.ENSP00000252252	9606.ENSP00000251643	0	0	0	0.724	0.063	0.185	0.900	0.270	0.922
HLA-DRA	OAS2	4446403	4441243	9606.ENSP00000378786	9606.ENSP00000342278	0	0	0	0	0.150	0	0.900	0.151	0.921
CYBB	CD93	4445083	4433960	9606.ENSP00000367851	9606.ENSP00000246006	0	0	0	0	0.214	0	0.900	0.087	0.921
VCAN	IGFBP5	4435552	4433604	9606.ENSP00000265077	9606.ENSP00000233813	0	0	0	0	0.078	0	0.900	0.217	0.921
CXCL2	ANXA1	4449392	4444796	9606.ENSP00000427279	9606.ENSP00000366109	0	0	0	0	0.097	0	0.900	0.198	0.921
SPON2	THBS2	4451791	4442741	9606.ENSP00000483599	9606.ENSP00000355751	0	0	0	0	0.087	0	0.900	0.212	0.921
PITX2	TFAP2C	4438026	4432785	9606.ENSP00000304169	9606.ENSP00000201031	0	0	0	0	0.084	0.064	0.900	0.197	0.921
SPARCL1	CYR61	4448749	4448043	9606.ENSP00000414856	9606.ENSP00000398736	0	0	0	0	0.049	0	0.900	0.244	0.921
AGT	CXCL8	4442719	4438229	9606.ENSP00000355627	9606.ENSP00000306512	0	0	0	0	0	0	0.900	0.249	0.921
STAT1	TWIST1	4442456	4433815	9606.ENSP00000354394	9606.ENSP00000242261	0	0	0	0	0	0	0.900	0.243	0.921
ANXA1	GNA15	4444796	4435170	9606.ENSP00000366109	9606.ENSP00000262958	0	0	0	0	0.088	0	0.900	0.205	0.921
PF4	SERPING1	4437224	4436285	9606.ENSP00000296029	9606.ENSP00000278407	0	0	0	0	0.061	0	0.900	0.228	0.921
FBN1	COL1A2	4439770	4437383	9606.ENSP00000325527	9606.ENSP00000297268	0	0	0	0	0.810	0.063	0	0.593	0.921
SPARCL1	FBN1	4448749	4439770	9606.ENSP00000414856	9606.ENSP00000325527	0	0	0	0	0.062	0	0.900	0.226	0.921
JAK3	FYN	4447709	4441647	9606.ENSP00000391676	9606.ENSP00000346671	0	0	0	0.654	0.061	0.111	0.900	0.428	0.921
THBS2	ADAMTS2	4442741	4434181	9606.ENSP00000355751	9606.ENSP00000251582	0	0	0	0.541	0.172	0	0.900	0.234	0.921
LSAMP	THY1	4449002	4436571	9606.ENSP00000419000	9606.ENSP00000284240	0	0	0	0	0.142	0	0.900	0.156	0.921
RHOU	STAT3	4442726	4435468	9606.ENSP00000355652	9606.ENSP00000264657	0	0	0	0	0	0.069	0.900	0.221	0.921
CFB	C2	4448835	4437564	9606.ENSP00000416561	9606.ENSP00000299367	0	0	0	0.882	0.172	0	0.900	0.738	0.921
